urdu_text,is_sarcastic,,,,,,
🤣😂😂 ہو لینے دے میری شادی فسادن ٹھیک ہے کوجی نہیں چاہیے 😐😐😐🤣,1,,,,,,
چل مہمانوں میں کھانا سرو کر چڑیل چاچی نوں دسدی آں میں😂😂,1,,,,,,
کامران خان آپکی دن بھریہ زمہ داری لگائی گئی اپوزیشن کی کردار کشی اوراس پربھونکناہےآپ خوشامدگری وچاپلوسی سےاورکتنی دولت کماناچاہتےہیں موٹرسائیکل سےپیجارو پراڈو تک کےسفرمیں ضمیرکی لاش سےاٹھتی بدبوآپ کی ناک بند نہیں کرتی ہے 🙏نوٹ آپ سب سےالتجاگزارش ہےہمیں بھی فالوکریں شکریہ,0,,,,,,
نہیں پائین 😎,0,,,,,,
 `` مراد علی شاہ کے بھیس میں ڈی جی آئی ایس آئی تھے '' حامد میر😁,1,,,,,,
 قابل اعتبار ہی اکثر قاتل اعتبار ہوتے ہیں 💔🔥,1,,,,,,
انساں کو تھکا دیتا ہے سوچوں کا سفر بھی ... 🍁🥀,0,,,,,,
حامد میر صاحب ویلڈن👏😊,0,,,,,,
یار وچارہ ویلا ہوندا ہے اس آرے لگا ہویا ہے😂😂 تسی تے پکے نجومی ہو اسی منندے ہاں,1,,,,,,
یہ سمجھتے ہیں سارا پاکستان بیوقوف ھے 😂😂😂,1,,,,,,
تسی لڑاںٔی کروانی ساڈی کی 😂😂😂,0,,,,,,
پائن دوبارہ فالو کرئیے..؟؟😆🙄,0,,,,,,
کتنی مہنگائی ہے الو دوسو روپے درجن کدو 80روپے گز 😭😭😭 ISPR,1,,,,,,
😍عشق جب تم کو راس آۓ گا 💔زخم کھاٶ گے 😊مُسکراٶ گے,1,,,,,,
چونا ایسا ہی ہوتا 😂,0,,,,,,
خاتم_النبیین_محمدﷺ Surat 73 سورة المزمل Ayt 20 حصہ5 ترجمہ اور کچھ اللہ کی راہ میں لڑتے ہوں گے تو جتنا قرآن میسر ہو پڑھواورنماز قائم رکھواورزکوٰة دواور اللہ کو اچھا قرض دو 🌹🌹 درود_وقرآن صَلَّی اللہُ عَلٰی حَبِیْبِہٖ سیِّدِنَا مُحَمَّدٍ وَّآلِہٖ وَصَحْبِہٖ وَسَلَّمْ,0,,,,,,
اب بس بھی کرو بیچارے کی پہلے ہی دو بیویاں ہیے کیا اپ نے تیسری کے لیے ٹرائ کرنا ہے 😜,1,,,,,,
پتہ نہیں کیا ہورہا ہے سی سی کی بورڈ کو زنگ لگ گیا ہے😭😭,1,,,,,,
اللہ آپ کو اپنی رحمتوں کے سائے میں رکھے اور مکمل صحت یاب فرمائے 🙏,0,,,,,,
آرمی چیف کا نوٹس۔ اب مجرم اپنے جرائیم پر خود نوٹس لیا کرےگا۔ 🤔😥😥,0,,,,,,
"کھوتی دیا بچیا،تیری عزت کیتی اے،تیری قدر کیتی اے۔شکر کر تیری بونڈ نئیں ماری۔ جے تیری بونڈ ماری ہوندی تے تینوں پٹھاناں دے ہتھے چاڑ دینا سی۔ تے پین یکا 💦",1,,,,,,
فوج سیاست سے دور رہے۔ بلاول زرداری فوج کراچی واقعے کا نوٹس لے۔ بلاول زرداری 😂,1,,,,,,
شکریہ لڑکی 😍جیتی رہ 😂,0,,,,,,
" صدائیں درودوں کی آتی رہینگی جنہیں سن کر دل شاد ہوتا رہے گا، خدا اہلسنت کو آباد رکھے محمد کا میلاد ہوتا رہیگا ❤️ﷺ ❤️ Eide…",0,,,,,,
یہ ووٹ کی بجائے ووٹر کو عزّت دیں ✌️,1,,,,,,
2004 میں ایک نشئی نے کہا تھا کہ ... .. اگر اسٹیبلشمنٹ چاہیے تو کتا بھی وزیراعظم بن سکتا ہے 2018 میں ہم نے کتے کو PMبنتے دیکھ ہی لیا😂😂,1,,,,,,
مشکل ہے لیکن ناممکن نہیں اگر کامران صاحب کوشش کریں تو ۔۔؟😆,0,,,,,,
 میں نے پورے دو ہفتے سے سالن روٹی نہیں کھایا ہے 😕😕کوئی حال نہیں میرا 😐,0,,,,,,
تو رہنے دے پھر 😂😂,1,,,,,,
وھ کوئی بھی ھو بیشک میں ھے ھو وہ 🐕 کیمنا حرام زیادہ ھو جو حق کی بات نہیں کرتا کامران خان تم نے کتنا پیسا لیا,1,,,,,,
 میں ماضی کی انتہائی بے وقوف اور حال کی سمجھدار لڑکی ہوں😌🥀 مریم نواز بزدارکی_پرواز_بلاول_بیک…,0,,,,,,
آمین ثمہ آمین 😍,0,,,,,,
جیتھے دی کھوتی وتھے آ کھلوتی 😜😜😜,1,,,,,,
یہ اسمبلی بغیر ڈیزل کے چل رہی ہے کیونکہ اِسکو گدھا '' چلا رہا ھے گدھے کو ڈیزل کی نہیں `` ڈنڈے '' کی ضرورت ہوتی ہے 🤣😂😂😂,1,,,,,,
عجیب بات کی کامران خان صاحب نے۔ پنگا بھی ان سے لے رہے جن کے ابھی بھی دو گولیاں محو رقص ہیں۔ انہیں پتہ ہونا چاہیئے کہ آپ کی کوئ بھی خبر غلط ہو ہی نہیں سکتی 😏😏😏,0,,,,,,
گڈ ناٸیٹ😁,0,,,,,,
دروازے پر بہت اتارتے تھے پہلے اب تو خود کو ہی تھپڑ لگاتے 😂😂😂😂,1,,,,,,
ویسے اپنے پیر پر کلہاڑی مارنا کوئ ان سے سیکھے 😂,1,,,,,,
آپ دلہن کی پھپھو ہیں میری نہیں 😏😏😂🤣🤣🤣,0,,,,,,
ہاہاہاہاہاہاہاہاہاہاہاہاہاہاہاہا کمینہ 😂😂😂😂,0,,,,,,
میں محمد ندیم ملک بطور ایک عام پاکستانی بلاول زرداری کے ہر دل ❤️ عزیز وزیر اعلیٰ پنجاب جناب عثمان احمد خان بزدار کے خلاف بیان کی پرزور مزمت کرتا ہوں بزدارکی_پرواز_بلاول_بیکار,1,,,,,,
قطری نانی ۔۔اور بلو رانی کے ذلیل ہونے کا وقت ہوا چاہتا ہے ۔۔۔۔😂😂😂 قطری نانی کے گیم میں بری طرح پھنس گیا صفدر کو آزاد کر واکے ۔۔۔اب سارا ٹوپی ڈرامہ جب فوج کھولے گی ۔۔تو بلو رانی کہے گا ۔۔عزت مآب ۔۔۔میں نے تو خود درخواست دی تھی آپ کے حضور کہ یہ قطری نانی کے جال سے بچائیں,1,,,,,,
اچھا بھائیوں کو زیادہ ویلکم کر سکتی تم لڑکی بہنوں کو تو کرا نہیں😏😏😂بلی دیکھو زرا ہمارے بھائیوں پہ کڑی کی نظر ہے😂😂😂,0,,,,,,
موٹی چڑیل ٹویٹ دیکھو کس کی ہے 😂😂😂,0,,,,,,
ایتھے تے سب ہی جج نے۔۔۔😂😂😂,1,,,,,,
اک محترمہ سارا دن پاک فوج کے خلاف بکواس کر کے رات کو فوجی کے ساتھ سو جاتی ہے کر لو گل۔۔۔😂,1,,,,,,
ان کو لگتا ہے کہ انکے دیوتا کی طرح پورا پاکستان `` لکیروں '' کے سہارے سوچتا اور بولتا ہے۔۔۔😂😂😂,0,,,,,,
ہاہاہاہاہاہاہاہاہاہاہااہاہاہاہا 😂😂🙏🙏🙏🙏 لگدا اے مینوں ای قربانی دینی پڑنی اے 😂,0,,,,,,
ضرورت ہی نہیں اس کو الٹی کھوپڑی کی بات ایک کان سے سنو اور دوسرے سے نکال دو 😋😝😝🤣🤣🤣,1,,,,,,
 سنا تھا 1 اکیلا ہوتا ہے اور ساتھ 1 ہو تو 11 گیارہ بن جاتا ہے ۔ مگر تاریخ میں پہلی دفعہ 11 کو 1 نے برباد کردیا۔ واہ خان صاحب💖,1,,,,,,
وہ اپنی زندگی میں ہوا مصروف اتنا وہ کس کو بھول گیا اسے یہ بھی یاد نہیں😔 اردو_زبان,0,,,,,,
ڈرامی😂,0,,,,,,
ہور کی ٹرک 🚛 آنا سی 😂 😂 😂,1,,,,,,
جو بھی ملوث ہو اُس کو دوبارہ سندھ پولیس کے ہی حوالے کرنا چاہیے😡,1,,,,,,
اس وچ کہڑہ جوک جناب😂🏃🏻‍♂️چھڈو رھن دیو تہانوں گیم دا ہی نہیں پتا اج تک,0,,,,,,
شکر ہے استعفی لکھنا تو آیا اب اگلے جنم میں مل بھی جائے گا😅,0,,,,,,
خبر یہ ہے کہ آرمی چیف نے بلاول کی پریس کانفرنس کے بعد نہیں بلکہ آج صبح ہی کراچی واقعات کی بابت نوٹس لے کر کور کمانڈر کراچی کو تحقیقات کر کے رپورٹ پیش کرنے کا حکم دے دیا تھا جس کے بعد سندھ حکومت نے IG سندھ کو زبردستی چھٹیوں پر بھیجا ہے کھیل مزید دلچسپ ہو گیا 😂,1,,,,,,
`` کراچی جلسے میں لوگوں کو یہ کہ کر بلالیا گیا تھا کہ بلاول مرگیا ھے اور اسکی برسی ھے '' 😂 ISPR,1,,,,,,
" محبت وراثت میں نہیں ملتی، تلاش کرنا پڑتی ہے_❤💖 ادب_کا_سفر",0,,,,,,
شکریہ آپ کا نوازش بہت 💯🙏,0,,,,,,
 دوسروں کی بیویاں دیکھ کر جلنے سے بہتر یے اپنی بیویوں پر خرچہ کریں انہیں پارلر لے کر جائیں🙊🙊🤣 مارخورز,1,,,,,,
سعید غنی یہ عمران خان کی سازش ہے۔ مراد علی شاہ پولیس نے سب ٹھیک کیا۔ الحمدللہ خود ہی بےنقاب ہو گئے♥️,1,,,,,,
صافی اک بات پوچھوں ؟؟؟ بلاک تو نہیں کرو گے؟ سچ بتائو تبدیلی نظر آرہی ہے نا؟ لفافی صافی اور صحافی 😅😅😄😃😃🤣🤣🤣🤦‍♂️,0,,,,,,
ہاہاہاہاہاہا چالیس سالہ صحافت کا بلتکار کردیا حامد میر۔ مولا خوش رکھے 😂,0,,,,,,
دراصل یہ ٹکلا انکل نانی کو چمہ دینا چاہتا تھا مگر بیچ میں نانا آگئے۔۔ 😅😆😂,1,,,,,,
اوئے ہوئے بڑے غائب غائب لوگ آئے ویلکم ویلکم😻🌹👊💕,1,,,,,,
ہا ہا ہا 😂😂😂😂 آہو یہ تو ہیں 💞💞💞,0,,,,,,
 پشاور ہاٸیکورٹ نے لیگی رہنما امیر مقام کے خلاف FIA کے تمام کیسز کی سفارشات رد کر کے امیر مقام کو باعزت بری کر دیا.✌🏻,0,,,,,,
لیکن اِس چیف کا نوٹس لینا تو ایسے ھی ھوا جیسے دودھ کا راکھا بلا😥 یا پھر چراغ تلے اندھیرا🤐,1,,,,,,
😂😂😂😂😂 6 بسکٹ آئے تھے گن کر اس میں,1,,,,,,
معافی نہیں دیندے قوم نوں 🙏,0,,,,,,
غلامی رسولٌ میں موت بھی قبول ہے۔۔ جو ہو نا عشق مصطفی تو زندگی فضول ہے۔۔♥️ حضورصلى الله عليه وسلم خاتم النبيين ہیں آپ صلى الله عليه وسلم کے بعد کوئی نبی نہیں ہو گا ♥️♥️ بے_شک,0,,,,,,
شاید کامران خان کے کچھ بیرونی دوست مدد کے لٸے تیار بیٹھے ہوں اور ہمیں پتہ نہ ہو۔ 😂,1,,,,,,
وہ میں نے پوچھنا تھا میں بھی چھٹی کی درخواست لکھ دوں کیا😃,1,,,,,,
😂😂😂😂😂😂😂😂 شغل میلہ لان دؤ توانوں کی پین جی 😃😅😆😆😆,0,,,,,,
جس نے فالورز `` بڑھانے '' ہوں ہمارے پاس تشریف لائے یہ ایسے محسوس ہوتا ہے جیسے دیوار پہ حکیم صاحب کا اشتہار لگا ہو 😊🙏 ٹوئیٹر_دواخانہ,0,,,,,,
بے غیرتوں اور جاہلوں کے سوا عمران نیازی کا ساتھ اب کوئی نہیں دے گا ہارون رشید😜 StandWithSindhPolice,1,,,,,,
"میری فلاسفی کو کھلے عام ڈرامہ بولا جا رہا ہے،، اس کا بھی نوٹس لیا جائے مائی لارڈ😣😣",1,,,,,,
ڈیر خکولے ماشاءالله 🌺🍃,0,,,,,,
دیکھتے ہیں ہم نے کافی مقدار میں پاپ کارن منگوا لیے ہیں.. 😂,0,,,,,,
آواز تو قائدِ اعظم نے بھی سُن لی تم لوگو کی .. فون آیا تھا میرے پاس پوچھ رہے تھے میرے مزار میں گدھے کیسے داخل ہوئے 😕 😂😂😂,1,,,,,,
تعجب نہیں لیکن کیا نہیں جانتا کس نے کس کے کہنے پر کاروائی ڈالی ھے😉 چلو کچھ تو ریلیف ملے گا 😉 بلاول سیاستدانوں کی صف میں شامل ھوگیا لیکن ھمارا نعرہ وہی ھے ووٹ_کو_عزت_دو,1,,,,,,
"کیا حسن اتفاق ہے ان کی گلی میں ہم اک کام سے گئے تھے، ہر کام سے گئے۔۔🔥❤",0,,,,,,
یہ کیا 😂😂😂😂😂,0,,,,,,
اتنا بڑا معاملہ ہو گیا یار کوئی وزیراعظم کو بھی نوٹس لینے کا بولے ڈمی ہے مگر ہے تو PM 😂😂,1,,,,,,
یہ وہی لطیفے والا کپتان ھے اک میراثی نے اپنے مرغے کا نام کپتان رکھا ہوا تھا جو اپنی وردی اتار کر کہیں چلا گیا تھا😂😂,1,,,,,,
مرد اپنی جوانی میں اپنے اعمال سے اپنی بیٹی کی قسمت جوانی لکھ رہا ہوتا ہے 🌷,0,,,,,,
دیکھ ساقی کیسے بستا ھے عشق وجود میں۔۔۔ 💕 سلطنت میری ھے رگ رگ پہ حکومت یار کی۔۔۔ 💕,0,,,,,,
 لفظ دوست تشریح عزت نہ کرنے والی عجیب و غریب بے ڈھنگی لا پرواہ مخلوق۔۔۔۔۔۔ 😂😂😂😂😂✌😂😂😂,1,,,,,,
 وہی تو عرض کرنے کی کوشش کر رہا ہوں کہ دونوں کیلئے ڈھنگ کے کھسم مر گئے تھے کیا 😁؟,1,,,,,,
اللہ پاک نئ زندگی میں سکون عطا فرماۓ آمین ثم آمین۔❤,0,,,,,,
ایناں مینوں نی ہویا جیناں توانوں اویا اے 🙋‍♂️,0,,,,,,
ملازم کی تنخواہ 1 تولہ سونے کے برابر ہو گی یہ کِس بیغیرت نے ڈی چوک پر کہا تھا ؟😂😂 در_در_نیازی🐉,1,,,,,,
اپوزیشن والے کبھی کہتے ہیں عمران خان کٹھ پُتلی ہے فیصلے کوئی اور کرتا ھے کبھی کہتے ہیں عمران خان ہم سے انتقام لے رہا ھے😂😃😂,1,,,,,,
جلدی کہا تب سے سوچ رہی تھی😂,0,,,,,,
مینا ڈیڈی😋,0,,,,,,
 بدزبان بد کلام چوہان چوہان نیازی اپنے ٹائیگر نامی کتے 🐶 کو لگام دو BachaKhanOurHero,1,,,,,,
"اچھا دماغ والے بغیر دماغ والوں کے گرد گھومتے کیوں ہے، دماغ کی صرف موجودگی ضروری نہیں استعمال بھی ہونا چاہیے😏😏",1,,,,,,
'' عورت کی اتنی وفا کافی نہیں؟ کہ وہ تمہارے ساتھ جنت تک کے خواب دیکھتی ہے جبکہ تم اسے پہلو میں بیٹھا کر بھی تین بیویوں کے خواب دیکھ رہے ہوتے ہو_ '' 🙂❤,0,,,,,,
لے تسی کسطرح سانوں بھل سکدے🙈😂,0,,,,,,
😂😂🤣🤣 فسادن ملی تے کوجی ہنھ😏😏😏,1,,,,,,
زرداری پتہ نہی کون سے بدلے چکا رہے ہیں ن لیک سے پہلے گنجے سے فوج مخالف تقریر کروائ پھر کراچی میں گنجی کی تقریر کی اجازت نہی دی ن لیک کے پوسٹر کے نیچے پیپلزپارٹی لکھوا کر بینرز وائرل کیے اب اس کا جوائ گرفتار کروا دیا۔ یہ اتحاد ہے یا پھر ن لیک کی بینڈ بجائ جارہی ہے😂 ISPR,1,,,,,,
یہ گشتی پاگل ہوگی ہے اس کو سیریس نا لو بھائیوں 😂😂🤣,1,,,,,,
استغفراللہ 🙆‍♀️🙏🙄,0,,,,,,
 شام تک جتنے لوگ ریٹویٹ ♻️ کریں گے ان کو سپیشل پروموشن لسٹ میں شامل کیا جائے گا👈جلدی سے ریٹویٹ ♻️ کریں اور اپنا ہی گارنٹی ہے ف…,0,,,,,,
 یہ سرعام جو حق گوئ کا ہنر پایا علی ع سے عشق کیا تو یہ جگر پایا ❤,0,,,,,,
 وچلے ذرائع کے مطابق کپٹن صفدر کو گرفتار کر کے فوج سے 1992 کا بدلہ لیا گیا ہے😜😜😜 CompromiseGames,1,,,,,,
 پٹواریوں_کی_مادرملت جیسے بنا سوار کے سواری 😜,1,,,,,,
نکما کیپٹن صفدو۔۔۔۔۔🧔 🤣😅🤣,1,,,,,,
 پہلے گجر طیارہ وڑائچ طیارہ چیمہ طیارہ مگر اب پیش خدمت ہے نیو خان طیارہ😂😂 بزدارکی_پرواز_پنجاب_بیکار,0,,,,,,
گل خان کے لیول کی😂,0,,,,,,
 پٹواریوں کی بھی کیا زندگی ہے جنم انسانوں والا ملا حساب کتوں والا دینا ہوگا 😁😁😁,0,,,,,,
"تو کیا ہوا باجوا کی چھاتی پر ایک سو کے قریب میڈل نہیں دیکھے ہیں کیا؟؟🙄 پچھلے چار سالوں سےاتنا بڑا پاکستان فتح کر رہا ہے ، کشمیر فتح کرنا اسکے بائیں ہاتھ کا کھیل ہے😋 سے ہی پوچھ لیں😌",1,,,,,,
یہ کوئی راکٹ سائنس تو ہے نہیں جیو شیرنی ❤️,1,,,,,,
آج عمران خان اور ان کے مشیروں اور وزیروں کو نیند نہی اے گی کیوں کے پنڈی بواے کی کال گئ 😍🤣😂,1,,,,,,
zabardast 👌 ہے میری زندگی کے رابطے میں شفاء جیسا وہ میری روح میں شامل محبت کی انتہا جیسا ...,0,,,,,,
سنا ہے آرمی چیف صاحب نے ووٹ چوری کا نوٹس لے بہت خوب 🌷🌷,0,,,,,,
ذرا_ذرا سا تھا پر تھا کمال کا ... ... ... 😍 وہ تمہارا مسکرانا جو ھمیں لے ڈوبا ... 🤕,0,,,,,,
لگتا ہے کہ نانی ۴٢٠ کی زنبیل میں بہت کچھ دفن ہے 😉,1,,,,,,
ویسے یہ اچھی آڑ ہے کہ پہلے سب کچھ خود کرو اور بعد میں اُنہی کو تحقیقات کا حُکم دے دو جو آپ کے ماتحت ہوں۔ قوم کو پاگل بنانا کتنا آسان ہے؟ 👏,1,,,,,,
اب ٹرکوں کے پیچھے لکھا آئے گا۔۔۔ سندھ پولیس کو سلام۔۔۔👨🏻‍✈️,1,,,,,,
مادر ملت نہیں مادر زلت ہے یہ 😂,0,,,,,,
نئیں ۔۔۔۔۔۔ 😁😁😁😁 افتخار ٹھاکر سٹائل,0,,,,,,
بلاول بھٹو زرداری 😹,0,,,,,,
ارے پوچھنے بتانے کی کیا ضروت ھے سب کو پتا ھے کہ کل رات تم نے کہاں اور کس کے ساتھ گزاری ھے 😂😂😂😂,1,,,,,,
پورے پاکستان میں ایک چنگچی ڈھونڈ کے اب محترمہ نانی جی اپنا بیانیہ گھر گھر پہنچائیں گی۔۔۔ انقلاب۔۔۔ 😆,1,,,,,,
 بریکنگ نیوز۔۔ صرف دو کامیاب جلسوں کے بعد ہی نکے کے ابا جی کے استعفے کی صدائیں آنا شروع ہو گئی ہیں۔ مبارک ہو۔۔۔ 😏👈💪 ریاست_سے_…,1,,,,,,
ڈوبے تو اصّل میں لفافے اور خونی لبرل ہیں ۔ جو روز جھوٹ بولتے ہیں اور روز ذلیل ہو کر سوتے ہیں ۔ لگتا ہے ان کو ذلیل ہونے کی عادت سی ہو گئی ہے 😂,0,,,,,,
